Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Number of cluster,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
yelp_review_polarity,183.25222222222223,9166,7,1539,3,2,0.75,0.77,0.79,0.23,
dbpedia,66.60111111111111,9704,11,246,14,14,0.4,0.3,0.61,0.13,
dbpedia,66.48,9586,10,353,13,14,0.5,0.35,0.62,0.11,
yelp_review_polarity,180.99555555555557,9055,6,1263,3,2,0.85,0.82,0.75,0.33,
dbpedia,66.13333333333334,9731,11,154,17,14,0.48,0.38,0.7,0.09,
ag_news,45.81333333333333,7352,14,366,3,4,0.75,0.67,0.67,0.15,
dbpedia,67.13555555555556,9755,13,209,14,14,0.5,0.33,0.62,0.11,
amazon_review_polarity,100.04222222222222,9123,19,475,7,2,0.72,0.69,0.83,0.39,
amazon_review_polarity,98.88555555555556,8964,20,509,4,2,0.8,0.78,0.79,0.36,
dbpedia,67.0911111111111,9608,11,198,11,14,0.55,0.44,0.65,0.12,
amazon_review_full,98.30444444444444,8939,16,387,4,5,0.91,0.95,0.98,0.66,
amazon_review_polarity,99.69666666666667,9020,20,366,5,2,0.8,0.8,0.86,0.36,
dbpedia,66.70333333333333,9660,11,157,14,14,0.52,0.36,0.61,0.08,
dbpedia,69.07333333333334,9906,11,165,11,14,0.47,0.37,0.61,0.13,
yelp_review_polarity,181.65444444444444,9135,7,1213,3,2,0.8,0.77,0.81,0.3,
amazon_review_full,99.84222222222222,9036,20,416,6,5,0.87,1.0,0.99,0.66,
